,gr_pass,gr_pers,grit1,grit2_r,grit3_r,grit4,grit5_r,grit6,grit7_r,grit8_r,grit9,grit10,grit11_r,grit12,Grit,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfi11,bfi12,bfi13,bfi14,bfi15,bfi16,bfi17,bfi18,bfi19,bfi20,bfi21,bfi22,bfi23,bfi24,bfi25,bfi26,bfi27,bfi28,bfi29,bfi30,bfi31,bfi32,bfi33,bfi34,bfi35,bfi36,bfi37,bfi38,bfi39,bfi40,bfi41,bfi42,bfi43,bfi44,bfi45,bfi46,bfi47,bfi48,bfi49,bfi50,bfi51,bfi52,bfi53,bfi54,bfi55,bfi56,bfi57,bfi58,bfi59,bfi60,O,C,E,A,N,wplgrit1,wplgrit2,wplgrit3,wplgrit4,wplgrit5,wplgrit6,wplgrit7,wplgrit8,wplgrit9,wplgrit10,wplgrit11,wplgrit12,givetake1,givetake2,givetake3,givetake4,givetake5,givetake6,givetake7,givetake8,givetake9,givetake10,givetake11,givetake12,givetake13,Generosity,coach1,coach2,coach3,coach4,coach5,coach6,coach7,coach8,coach9,coach10,coachability,hop1,hop2,hop3,hop4,hop5,hop6,hop7,hop8,hop9,hop10,hop11,hop12,hop13,hop14,hop15,hop16,hop17,scg1_goal1,scg1_goal2,scg1_goal3,scg2_goal1,scg2_goal2,scg2_goal3,scg3_goal1,scg3_goal2,scg3_goal3,scg4_goal1,scg4_goal2,scg4_goal3,scg5_goal1,scg5_goal2,scg5_goal3,birthyr,gender,work_hrs,work_status,work_employer,educ,SATACT,income,birthyr2,age,gender_b,gritrubric,grit_pass,grit_pers,sc2_r,sc3_r,sc4_r,sc5_r,sc7_r,sc9_r,sc10_r,sc12_r,sc13_r,sc,wplgrit,wplpass,wplpers,op,hp,work_time,work_like,work_import,work_pass,work_ident,scg1_goal1_r,scg1_goal2_r,scg1_goal3_r,scg2_goal1_r,scg2_goal2_r,scg2_goal3_r,scg,bfi49_r,bfi51_r,bfi54_r,bfi56_r,bfi57_r,bfi60_r,bfi25_r,bfi28_r,bfi31_r,bfi32_r,bfi33_r,bfi34_r,bfi1_r,bfi4_r,bfi7_r,bfi8_r,bfi11_r,bfi12_r,bfi14_r,bfi16_r,bfi19_r,bfi20_r,bfi23_r,bfi24_r,bfi37_r,bfi39_r,bfi43_r,bfi44_r,bfi45_r,bfi47_r,N_r
22,4,2,5,4,4,2,2,4,3,5,3,4,4,3,3.583333333,3,4,3,4,3,2,5,2,3,4,4,3,2,4,4,4,3,5,4,1,5,4,5,2,4,2,2,4,4,3,2,4,5,4,1,4,4,2,4,4,1,4,4,4,4,4,2,5,4,4,4,2,5,1,1,3,4,4,2,4,4,1,5,1,5,5,1,5,1,1,5,5,1,5,3.666666667,3.583333333,2.416666667,3.333333333,5,5,5,4,5,4,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4.4,4,5,5,5,5,5,5,2,5,5,4.6,4,3,5,5,5,5,5,5,5,4,5,1,2,5,5,5,5,1,6,7,7,7,7,7,7,7,7,5,6,7,3,7,70,1,2,2,1,3,1640,2,1994,26,1,3,3.666666667,3.5,2,3,2,3,1,3,2,3,4,2.615384615,4.666666667,4.714285714,4.6,4,4.666666667,2,5,5,5,5,7,2,1,1,1,1,4.333333333,5,5,5,5,5,5,4,5,2,2,2,4,2,3,5,1,4,2,4,2,2,1,2,2,2,4,3,2,2,2,2.666666667
23,3,3,3,2,2,2,3,4,3,2,4,5,2,5,3.083333333,2,4,4,5,3,2,4,1,4,3,2,4,2,4,4,2,4,4,4,5,2,1,4,1,4,2,4,3,4,3,4,4,4,2,2,5,4,2,3,2,4,4,4,4,4,4,4,4,4,2,4,1,4,4,5,4,2,2,5,2,5,4,4,2,4,3,2,4,2,2,4,4,4,3.583333333,2.916666667,2.916666667,2.25,1.833333333,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,5,2,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3.9,4,4,4,2,4,5,1,4,2,4,1,1,2,4,4,4,4,1,1,1,7,7,7,7,7,7,6,3,3,1,1,1,64,1,3,1,1,6,NA,10,1988,32,1,3,2.333333333,3.833333333,2,2,1,3,2,2,3,2,4,2.153846154,3.666666667,3.714285714,3.6,1.833333333,4.166666667,2,4,4,4,4,7,7,7,1,1,1,4.75,2,4,4,4,4,2,4,2,2,2,2,2,2,2,1,4,5,2,2,2,2,2,1,2,4,5,2,4,4,4,4.166666667
24,3,5,4,3,3,3,2,5,3,3,4,3,3,4,3.333333333,3,3,2,2,2,4,2,3,2,2,3,2,2,3,3,4,3,2,2,3,2,3,3,3,2,4,3,3,2,4,4,3,3,2,3,3,3,2,5,4,2,4,4,2,3,2,2,5,4,2,4,4,3,4,4,4,2,3,2,4,4,4,3,2,4,2,4,3,4,4,3,3,3,2.75,4.083333333,3.083333333,3.25,2.833333333,4,3,2,3,2,3,3,4,4,4,4,2,4,3,4,3,3,3,3,4,3,4,4,2,4,3.4,2,2,4,4,3,3,2,2,3,3,2.8,4,3,3,2,3,4,2,3,1,4,2,3,4,4,4,3,4,2,3,3,4,4,4,6,5,5,3,5,6,2,3,3,61,1,2,1,1,4,1020,12,1985,35,1,4,2.833333333,3.833333333,3,4,4,4,4,4,4,4,4,3.692307692,3.166666667,2.857142857,3.6,2.166666667,3.5,4,4,4,3,4,6,5,5,4,4,4,4.833333333,2,4,2,2,2,3,4,4,4,3,4,4,3,3,3,4,3,4,3,4,3,3,3,3,4,2,2,4,3,2,3.166666667
25,3,4,4,3,4,3,4,5,4,4,4,3,5,5,4,2,3,1,3,4,2,4,2,4,1,3,4,3,2,5,5,2,5,4,1,2,5,4,1,1,5,1,5,1,4,4,4,2,4,1,5,2,4,2,2,4,4,5,1,4,4,4,5,5,4,1,4,2,1,1,4,4,4,3,4,1,1,4,1,5,4,1,5,2,1,5,5,1,4.75,3.166666667,4.583333333,3.666666667,4.25,5,4,4,2,2,4,5,5,4,4,4,4,5,5,5,5,5,4,4,5,1,1,4,2,4,5,5,5,5,5,5,5,5,4,5,5,4.9,5,2,4,2,5,5,1,5,1,5,3,1,4,5,5,5,4,5,1,2,3,1,5,5,6,7,3,7,7,3,4,3,55,0,2,1,1,3,1320,8,1979,41,0,3.5,4,4,3,5,3,2,2,2,5,2,3,2.769230769,3.916666667,3.714285714,4.2,1.666666667,4.833333333,4,5,5,5,4,3,7,6,5,7,3,5.5,5,5,5,4,5,5,2,2,5,2,2,2,4,4,5,4,5,5,5,5,2,4,1,4,2,2,2,2,2,2,1.75
26,3,1,2,4,5,1,4,3,4,3,3,2,5,3,3.25,3,2,3,3,1,3,3,2,2,2,2,2,3,3,3,1,3,2,2,4,4,2,2,3,4,4,2,3,1,3,3,3,4,2,2,4,4,3,4,3,2,2,3,3,4,4,3,3,3,2,4,4,4,4,5,2,2,3,3,3,3,2,4,1,3,4,4,3,4,4,2,3,4,3,2.916666667,2.25,2.916666667,2.416666667,4,2,2,3,3,4,4,4,2,3,3,2,3,3,2,2,3,2,3,4,2,4,3,2,3,2.6,3,2,4,3,3,1,2,2,2,4,2.6,3,4,4,2,3,4,3,3,4,4,2,3,4,4,4,3,4,2,5,4,2,2,2,7,6,6,6,4,5,7,7,6,39,1,2,1,1,6,1400,9,1963,57,1,2,4.166666667,2.333333333,4,3,3,5,3,4,4,4,3,3.307692308,3,3.142857143,2.8,3,3.5,4,4,4,3,4,6,3,4,6,6,6,5.416666667,4,5,2,2,2,2,3,4,3,2,2,3,3,3,2,2,3,2,4,5,3,2,2,2,4,2,4,4,3,3,3.583333333
27,6,5,5,5,4,4,4,5,4,4,5,3,2,4,4.083333333,4,3,1,5,3,2,5,4,1,1,5,1,1,4,2,2,4,3,3,4,2,5,5,1,1,5,1,5,5,5,5,1,1,5,5,1,2,1,5,5,1,5,5,1,1,1,2,5,5,5,2,4,1,1,1,4,5,5,2,4,1,1,3,2,4,2,4,2,5,2,4,4,1,3.333333333,4.916666667,3.333333333,4.583333333,4.583333333,5,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,3,1,2,2,1,2,5,4,4,5,5,5,5,5,4,4,5,4.6,5,3,5,4,5,4,4,5,3,5,4,4,5,5,5,5,5,7,6,7,7,7,7,7,6,7,7,6,7,7,7,7,64,1,2,1,1,2,NA,7,1988,32,1,5.5,3.833333333,4.333333333,3,5,1,3,1,5,5,5,5,3.692307692,4.666666667,4.428571429,5,3.666666667,4.833333333,5,5,5,5,5,1,2,1,1,1,1,3.916666667,5,4,2,1,4,5,5,5,5,5,5,4,2,2,2,4,5,5,5,1,5,5,5,4,1,2,2,1,1,2,1.416666667
28,5,5,4,3,4,4,4,5,5,4,5,4,4,5,4.25,4,2,1,2,3,4,2,3,3,1,5,2,1,4,3,4,2,4,4,2,1,4,4,1,1,4,1,4,1,4,4,2,2,4,4,1,2,2,4,4,2,4,5,1,1,1,2,5,5,5,2,4,2,1,1,5,5,5,1,4,1,1,4,1,4,4,1,4,2,1,4,4,2,4.333333333,4.5,4,4.25,4.666666667,5,5,4,2,3,4,5,5,5,5,5,4,4,5,5,5,4,3,5,5,2,4,3,1,1,4.6,4,4,5,5,5,4,5,5,4,5,4.6,5,2,4,2,4,4,2,4,2,4,2,2,4,5,5,4,4,1,1,1,6,6,1,7,7,1,1,4,7,6,6,3,58,0,2,3,NA,5,NA,10,1982,38,0,5,4,4.5,4,5,4,3,4,3,5,4,5,4.076923077,4.333333333,4,4.8,2,4.166666667,4,5,5,4,4,7,7,7,2,2,7,4.916666667,5,5,5,4,5,4,4,4,5,5,5,4,2,4,4,5,5,5,5,5,4,4,5,4,1,2,1,1,1,2,1.333333333
29,4,4,5,3,4,2,2,5,3,4,4,3,4,5,3.666666667,3,3,2,4,1,4,3,2,3,1,4,3,2,5,1,1,5,1,1,4,5,2,2,2,3,5,4,4,2,5,5,4,2,2,2,3,4,2,4,4,1,5,5,2,4,2,4,4,5,1,4,1,4,2,2,1,2,5,3,4,2,1,4,3,5,5,1,4,3,1,4,5,1,4.416666667,4,1.666666667,3.333333333,2.75,4,3,1,1,1,1,1,5,5,5,4,1,4,5,5,4,3,2,3,1,1,2,2,2,4,4.2,3,2,4,5,4,2,2,3,5,4,3.4,4,1,2,1,1,1,1,3,1,3,2,3,4,3,2,1,1,1,2,2,4,2,2,7,6,5,2,2,6,7,2,3,41,1,2,1,1,2,NA,5,1965,55,1,4,3.333333333,4,3,4,2,5,3,3,5,3,4,3.461538462,2.666666667,1.714285714,4,1.5,2.333333333,4,3,2,1,1,7,6,6,4,6,6,5.25,5,3,5,3,5,5,4,5,4,2,4,2,1,1,2,1,4,3,2,4,2,4,3,2,5,5,5,4,1,2,3.25
30,6,2,3,4,4,4,4,5,4,4,5,4,4,5,4.166666667,4,2,1,1,2,4,1,4,1,1,4,1,2,2,4,4,2,3,3,2,3,4,4,3,2,4,2,4,2,4,4,1,1,4,4,2,2,2,4,4,1,4,4,2,1,1,2,4,4,4,2,4,2,2,2,4,4,4,2,4,2,2,4,4,4,2,2,2,4,2,4,4,2,3.333333333,4.25,3.666666667,4.166666667,4,4,4,3,2,4,2,4,4,4,4,4,4,4,3,4,4,2,2,4,2,2,2,3,2,2,3.4,3,3,4,3,4,3,2,3,4,4,3.3,4,2,4,2,4,3,2,4,2,4,2,2,4,4,4,4,4,1,1,1,1,1,1,7,7,7,6,7,7,3,3,6,39,0,2,1,1,4,NA,4,1963,57,0,4,4,4.333333333,4,5,5,4,5,5,5,5,4,4.461538462,3.583333333,3.285714286,4,2,3.833333333,4,4,4,4,4,7,7,7,7,7,7,6.916666667,4,2,4,2,4,4,4,5,4,5,5,4,4,4,4,3,3,4,4,4,5,5,4,4,2,2,2,2,2,2,2
31,4,5,4,3,4,3,4,4,4,5,4,3,4,4,3.833333333,4,1,1,1,1,4,3,4,2,1,4,2,1,2,4,4,2,4,4,2,2,4,4,1,1,4,1,5,1,5,4,1,1,4,4,1,1,1,4,4,1,4,4,1,1,1,1,4,5,4,1,4,2,1,1,4,4,4,2,4,1,1,4,1,4,4,1,4,1,1,4,4,1,4.5,4.583333333,4.166666667,4.666666667,4.333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,3.9,4,2,4,4,4,4,2,4,2,4,2,2,4,4,4,4,4,4,5,5,5,2,3,7,7,5,6,7,7,6,7,3,71,1,1,1,1,5,1350,10,1995,25,1,4.5,4,3.666666667,5,5,5,5,3,4,5,4,5,4.384615385,4,4,4,2.333333333,4,4,4,4,4,4,4,3,3,3,6,5,5.25,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,2,2,2,2,2,2,1.666666667
32,2,5,2,4,3,3,4,4,4,4,4,3,4,4,3.583333333,4,2,2,2,2,4,2,3,2,2,4,2,2,3,2,3,4,2,2,3,2,2,3,3,2,4,1,4,1,4,5,2,2,4,4,2,3,2,4,4,2,4,4,2,2,2,2,4,4,2,4,2,3,3,3,2,2,3,3,3,3,4,2,4,3,2,2,3,3,2,4,4,3,3,4,2.75,4.166666667,2.583333333,3,2,2,1,3,2,4,4,3,2,3,3,4,4,4,5,4,3,4,2,2,3,3,2,3,4.2,2,2,4,3,3,2,2,3,3,3,2.7,4,2,2,2,4,2,2,3,2,3,2,2,3,4,4,4,4,2,3,5,2,3,4,5,6,6,4,4,4,2,3,6,63,1,2,1,2,6,1360,9,1987,33,1,3.5,3.833333333,3.333333333,4,4,4,4,4,4,4,4,4,3.923076923,2.666666667,2.428571429,3,2,3,3,4,4,4,4,6,5,3,6,5,4,4.833333333,2,2,4,3,4,3,4,4,4,4,4,4,3,2,3,4,3,4,5,5,4,4,4,3,4,4,4,4,3,3,3.416666667
33,5,4,3,3,3,3,4,3,3,2,3,2,4,2,2.916666667,4,2,3,2,1,4,2,3,2,4,3,1,2,3,4,4,3,1,1,4,3,3,4,2,3,5,1,4,1,4,4,1,2,4,4,1,3,3,3,3,3,3,3,3,3,1,1,4,4,4,2,3,2,3,2,3,4,4,3,4,2,3,2,4,3,3,3,3,3,3,3,3,3,2.833333333,3.5,2.916666667,4.333333333,3.666666667,2,4,3,3,4,4,5,4,3,4,3,3,4,5,4,4,4,1,4,3,1,2,3,1,3,4.2,3,4,4,3,4,2,4,3,3,4,3.4,4,2,5,3,5,5,3,5,4,5,1,1,3,5,5,5,5,4,4,6,4,4,6,7,7,7,7,7,6,6,6,6,51,1,2,2,4,2,NA,10,1975,45,1,4.5,3.166666667,2.666666667,4,3,4,5,4,4,2,5,4,3.769230769,3.5,3.571428571,3.4,2.333333333,4.833333333,3,5,5,5,5,4,4,2,4,4,2,5.083333333,3,2,3,3,3,3,3,3,3,3,5,5,3,3,2,3,4,3,5,5,5,4,5,3,2,3,3,2,2,2,2.333333333
34,4,5,5,3,4,3,3,5,2,4,5,5,5,5,4.083333333,3,3,1,2,2,3,3,3,2,2,5,1,2,3,4,4,4,1,2,4,4,4,4,2,1,5,1,5,1,5,5,1,1,4,4,1,2,2,5,5,1,4,5,1,2,3,1,5,5,3,3,3,4,2,2,3,3,4,2,4,2,2,3,3,4,4,3,4,1,2,3,3,2,3.666666667,4.583333333,3.083333333,4.75,3.416666667,3,5,4,1,3,3,3,5,3,5,4,2,5,4,5,4,4,2,5,3,1,1,1,1,2,4.4,2,2,5,3,4,4,4,3,5,5,3.7,4,2,3,1,3,2,1,4,1,4,1,1,3,4,4,3,4,1,1,7,5,5,6,6,7,5,4,7,3,2,6,3,61,1,2,1,1,2,NA,4,1985,35,1,4.5,3.5,4.666666667,3,5,4,4,3,4,4,5,4,3.846153846,3.416666667,3.142857143,3.8,1.166666667,3.333333333,3,4,4,3,4,7,7,1,3,3,2,4.583333333,4,3,3,5,4,4,4,5,5,4,3,5,3,2,2,2,4,5,5,5,5,5,5,4,3,3,3,3,2,2,2.583333333
35,4,3,4,3,1,3,3,5,3,2,5,3,2,4,3.166666667,5,3,1,1,4,3,3,5,4,2,5,3,4,4,4,4,2,4,4,4,3,4,4,4,2,4,2,3,4,4,4,2,3,4,5,2,4,2,4,4,4,3,4,1,2,2,3,3,4,4,3,3,3,3,2,4,3,2,4,5,2,3,4,3,4,3,3,5,2,5,3,4,2,3.416666667,3.666666667,3.416666667,3.583333333,3.333333333,3,4,3,4,3,3,4,5,2,3,3,4,4,4,4,4,5,4,4,5,3,3,3,5,3,4.2,4,2,3,3,4,5,3,3,4,5,3.6,4,2,4,3,4,5,4,3,4,2,3,4,5,3,4,5,4,7,7,5,6,6,5,6,5,5,6,5,4,6,6,5,63,0,4,1,1,6,NA,5,1987,33,0,3.5,2.333333333,4,3,5,5,2,3,2,4,3,2,3.615384615,3.416666667,3.428571429,3.4,3.333333333,3.666666667,5,3,4,5,4,1,1,3,2,2,3,3.583333333,3,3,3,4,1,4,4,2,5,4,4,3,2,4,2,3,2,4,4,2,4,3,4,2,2,3,2,3,4,1,2.666666667
36,4,2,4,2,3,2,2,5,2,2,3,2,3,3,2.75,2,5,2,4,3,2,5,2,3,3,4,3,2,2,4,2,4,2,4,4,2,1,2,4,4,4,2,4,2,3,3,4,2,3,2,4,3,4,3,2,3,4,4,2,4,2,4,4,3,1,5,1,4,4,5,1,2,2,3,4,3,1,5,1,5,5,1,5,4,1,4,4,1,4.583333333,3.083333333,2.583333333,3.166666667,1.916666667,4,5,1,2,4,4,3,5,3,4,5,1,5,5,5,4,5,2,5,1,1,1,2,2,2,4.8,2,3,4,5,5,4,5,5,5,5,4.3,3,2,5,2,4,4,2,4,1,4,2,3,5,4,5,2,4,1,1,1,5,7,7,7,7,7,6,3,3,7,7,1,54,1,3,2,1,3,1200,4,1978,42,1,3,2.333333333,3.166666667,1,4,2,3,1,3,3,3,4,2.615384615,3.416666667,3.285714286,3.6,2,4,5,4,5,2,4,7,7,7,3,1,1,4.916666667,5,5,5,2,5,5,2,3,4,2,4,2,4,2,2,4,2,2,4,4,2,4,2,3,5,5,5,4,4,2,4.083333333
37,5,6,5,4,2,4,4,5,4,5,5,5,3,5,4.25,4,2,1,1,1,4,2,4,1,1,5,1,1,5,2,2,4,2,2,4,4,4,4,1,2,5,1,4,1,5,5,1,2,5,5,1,5,1,5,5,1,5,5,1,2,1,1,5,5,5,2,5,3,2,1,5,5,5,1,5,1,1,5,2,5,5,1,5,1,1,5,5,1,4.916666667,4.916666667,2.666666667,4.5,4.666666667,5,5,5,1,5,4,5,5,4,5,5,5,2,5,5,3,5,1,5,1,1,5,2,3,5,4,2,2,5,5,5,5,5,5,5,5,4.4,5,1,5,1,5,5,1,5,1,5,1,1,5,5,5,5,5,7,7,7,3,7,7,7,7,7,7,4,2,7,7,7,44,1,2,5,NA,5,1840,5,1968,52,1,5.5,3.666666667,4.833333333,4,5,5,5,4,5,5,5,5,4.615384615,4.5,4.285714286,4.8,1,5,5,5,5,5,5,1,1,1,5,1,1,3.666666667,5,4,5,5,5,5,5,5,5,4,5,5,1,2,2,2,5,4,5,5,5,4,5,1,1,1,1,1,1,1,1.333333333
38,5,6,5,4,4,5,4,5,4,5,5,5,4,5,4.583333333,5,1,1,1,2,5,1,5,1,1,5,1,1,3,4,4,2,4,5,1,1,5,4,1,1,4,3,4,1,4,4,1,1,4,4,2,3,1,4,4,1,5,5,1,1,1,2,5,5,5,1,5,3,1,1,5,5,5,1,4,1,1,5,1,5,5,1,5,2,1,5,5,1,4.916666667,4.75,4.416666667,4.083333333,4.75,5,5,4,3,1,3,3,5,5,5,5,5,5,3,5,4,4,3,3,3,3,5,3,3,4,4.2,3,3,5,5,3,4,4,3,4,5,3.9,4,3,3,3,3,4,1,4,1,4,1,1,4,4,4,4,3,6,7,7,5,5,7,7,7,7,7,7,6,7,7,7,40,1,1,1,1,5,NA,6,1964,56,1,5.5,4.166666667,5,5,5,5,4,5,5,5,5,5,4.923076923,4.083333333,3.428571429,5,1.666666667,3.666666667,4,4,4,4,3,2,1,1,3,3,1,4.333333333,5,5,5,4,5,5,5,5,5,5,5,4,3,4,5,5,5,5,3,5,5,5,4,3,1,1,1,1,1,2,1.25
39,5,5,4,4,3,2,4,5,4,4,5,4,3,5,3.916666667,5,1,2,1,1,5,1,5,1,2,4,1,1,5,1,1,5,2,2,3,3,4,3,3,1,4,2,5,2,5,5,1,1,3,3,1,3,1,5,5,1,5,5,1,2,1,1,5,5,4,3,3,2,2,2,3,4,4,2,4,2,1,5,1,5,5,1,5,1,1,5,5,1,5,4.916666667,2.416666667,4.25,3.75,4,3,2,2,2,2,3,4,4,4,5,3,4,4,4,4,3,3,4,3,2,3,4,1,4,3.8,3,3,5,5,3,3,5,5,4,4,4,4,3,4,2,4,3,1,4,2,4,2,2,3,4,4,4,3,2,2,2,6,6,3,7,7,5,6,7,7,5,5,5,69,0,2,1,1,5,NA,12,1993,27,0,5,3.666666667,4.166666667,5,4,5,5,5,5,4,5,5,4.769230769,3.166666667,2.571428571,4,2,3.833333333,3,4,4,4,3,6,6,6,2,2,5,5.5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,3,3,3,5,4,4,5,5,5,3,2,3,3,2,2,2,2.25
40,1,2,5,3,4,4,3,5,4,4,5,5,4,5,4.25,3,4,1,2,3,3,1,1,2,2,5,1,1,1,4,5,1,3,4,3,2,4,3,1,2,5,1,4,2,5,5,1,1,1,4,2,3,1,5,4,1,5,5,1,2,4,2,4,5,5,2,2,4,1,1,4,4,5,2,5,2,3,4,1,4,4,5,5,4,1,4,4,2,3.75,4.416666667,4.083333333,4.166666667,4.083333333,4,5,3,1,1,1,1,5,5,5,4,3,4,4,5,3,2,3,1,4,4,3,4,2,3,3.6,1,4,4,3,1,2,1,1,4,2,2.3,4,1,4,1,4,4,1,4,1,4,1,1,5,4,5,2,1,7,1,1,7,1,1,7,7,1,7,1,1,1,1,1,35,0,4,2,4,2,NA,2,1959,61,0,1.5,3.666666667,4.833333333,2,5,4,3,5,4,4,5,5,3.769230769,3.166666667,2.285714286,4.4,1,4,5,4,5,2,1,1,7,7,1,7,7,4.5,3,5,1,2,5,4,5,5,5,4,2,4,5,5,3,4,5,4,5,4,5,5,4,3,1,4,2,2,1,1,1.916666667
41,3,3,4,3,3,3,4,4,3,4,4,3,3,5,3.583333333,4,3,2,5,1,3,2,4,2,2,4,2,3,4,4,2,4,1,4,4,2,4,4,1,1,5,2,5,1,5,5,1,1,4,4,5,4,2,5,5,1,4,4,1,2,1,2,5,5,5,2,3,4,1,1,4,4,4,1,5,1,2,4,2,4,4,1,4,1,1,5,5,1,4.5,4.583333333,3.25,4.166666667,4.25,5,5,4,2,5,4,5,5,4,5,5,4,4,5,5,5,4,4,5,4,2,5,4,4,4,4.6,4,4,5,5,5,4,4,4,4,5,4.4,4,2,4,4,4,4,5,5,4,4,4,2,4,5,5,5,5,3,3,3,6,5,4,7,6,5,7,7,7,7,7,7,61,1,2,3,NA,5,NA,6,1985,35,1,3,3.333333333,3.833333333,3,4,1,5,4,4,4,4,3,3.615384615,4.416666667,4.285714286,4.6,3.5,4.166666667,4,5,5,5,5,5,5,5,2,3,4,5.25,4,4,5,5,5,5,4,5,5,4,5,4,2,2,2,4,5,5,4,5,5,5,1,2,1,3,2,2,2,1,1.75
42,6,5,4,3,4,3,3,4,4,4,4,3,3,5,3.666666667,4,2,2,2,3,4,2,4,2,3,4,2,2,3,3,3,4,3,2,3,2,3,4,3,1,5,3,4,1,4,4,2,1,3,4,2,4,2,5,4,1,4,4,2,3,2,4,4,5,4,4,2,4,4,4,4,4,4,1,4,2,1,4,2,5,5,1,5,2,1,5,5,2,4.666666667,4,3.166666667,3.916666667,3.25,4,4,4,5,4,3,4,4,5,4,5,4,5,4,4,4,4,2,4,3,2,4,3,4,4,4.2,3,3,5,5,5,4,3,4,5,4,4.1,4,3,5,5,5,4,2,4,1,4,2,2,4,4,4,5,5,1,1,6,3,5,7,7,5,7,7,6,4,7,7,5,63,0,2,4,NA,5,2340,5,1987,33,0,5.5,3.5,3.833333333,4,4,4,3,4,4,3,4,4,3.846153846,4.166666667,4,4.4,2.5,4.333333333,4,4,4,5,5,7,7,2,5,3,1,5.083333333,5,4,5,4,5,4,4,5,4,3,4,2,3,2,3,4,3,5,3,5,4,5,4,2,2,4,2,2,2,2,2.75
43,6,4,3,2,2,4,3,4,3,2,4,4,3,3,3.083333333,4,4,5,3,4,4,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,4,3,4,4,4,4,3,3,3,4,4,3,3,3,3,4,4,3,3,4,4,4,2,3,5,3,4,3,4,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,3,4,3,4,4,3,5,3.083333333,3,2.916666667,2.916666667,2.916666667,4,4,3,3,4,4,3,4,4,4,3,3,4,4,3,3,5,3,3,4,4,3,4,4,4,3.8,4,3,3,3,4,4,5,4,4,4,3.8,4,3,4,4,3,4,3,4,3,4,5,4,5,3,4,4,3,5,7,7,5,6,5,5,6,6,6,5,5,5,6,6,57,0,3,1,1,5,NA,11,1981,39,0,5,2.5,3.666666667,2,1,3,2,3,2,3,3,3,2.769230769,3.583333333,3.571428571,3.6,3.666666667,3.833333333,5,3,4,4,3,3,1,1,3,2,3,3.833333333,3,2,3,3,2,1,2,2,4,3,1,3,2,3,2,3,2,2,2,3,2,3,3,2,2,2,3,2,3,3,3.083333333
44,6,4,5,4,5,5,4,5,4,5,5,5,4,5,4.666666667,4,1,1,1,1,5,3,4,3,1,5,1,4,1,5,5,1,4,3,1,3,5,5,1,1,5,1,5,1,5,5,1,1,5,5,1,1,1,3,5,1,5,5,1,1,1,1,5,5,5,1,5,1,1,1,5,5,5,1,5,1,4,1,5,4,1,5,3,4,3,4,4,1,2.583333333,4.833333333,4.583333333,5,5,5,4,4,4,5,1,5,5,5,5,5,5,5,4,5,4,4,1,5,5,2,2,3,2,3,4.4,3,3,5,4,5,1,2,5,5,5,3.8,5,1,5,4,5,3,1,5,1,5,1,1,3,5,5,5,5,1,1,6,1,1,7,2,5,7,7,7,1,3,1,2,57,0,2,1,1,5,1150,11,1981,39,0,5,4.333333333,5,5,5,5,5,3,3,5,5,2,4.307692308,4.416666667,4,5,1.5,4.666666667,3,5,5,5,5,7,7,2,7,7,1,5,2,1,1,2,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1
45,3,3,5,4,4,4,3,5,4,4,4,5,4,5,4.25,4,1,1,1,2,4,2,3,2,1,5,1,2,5,3,2,5,2,3,3,3,4,4,1,2,4,1,5,1,5,5,1,1,5,5,1,2,1,5,5,1,5,5,1,2,1,3,5,5,5,1,5,1,1,1,5,5,5,1,5,1,1,4,1,5,5,1,5,1,1,4,4,1,4.75,4.75,2.916666667,4.833333333,5,5,5,4,2,2,4,5,5,5,5,5,5,5,5,4,5,5,1,3,1,1,1,1,1,1,4.8,4,4,5,5,5,4,5,3,5,4,4.4,5,1,5,2,4,5,1,5,1,4,2,1,4,5,5,5,2,1,1,1,5,1,1,7,1,7,5,7,7,7,1,7,50,1,2,1,1,3,NA,7,1974,46,1,3,3.833333333,4.666666667,5,5,5,4,4,4,5,5,4,4.384615385,4.333333333,3.857142857,5,1.333333333,4.666666667,4,5,5,5,2,7,7,7,3,7,7,6,5,5,5,5,5,5,5,5,5,4,5,3,1,1,3,3,5,4,5,5,5,5,5,4,1,1,1,1,1,1,1
